post_url,comment_id,text,user,nickname,likes,timestamp,reply_count
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491560733545939733,Thằng này em trai của Gwen k động vào đc đâu,buican96,Bùi Cẩn,18965,1744264928,645
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491860103360955137,Gwen là thằng nào?,phuongtrang.0507,Phương Trang,850,1744334640,22
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491581903145911058,rồi lý do là gì,nguyenbo1212,nguyenbo1212,613,1744269849,112
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491526033139090196,Các bạn hiểu vì sao dính tới ma túi là án rất nặng rồi chứ,heo.n781,Du ngô,34677,1744256859,38
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491641658238190352,May ko gặp gwen đó 🤣,chupapidonpollo,TikTok Premium,1652,1744283778,5
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491533271957586696,Trc khi bỏ đi. Hắn nói to cái j thế ạ. Nge 10 lần vẫn k nge rõ lun.,linhdanhthue4.0,Lính Đánh Thuê 4.0,681,1744258533,91
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491656306148901652,sao anh bạn dừng đèn đỏ ở vi trí giữa đường v,quynh.ngoc.kg,Quỳnh Ngọc,47,1744287179,288
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491535299412476680,Muốn Xem tiếp phần 2 .,belcher_87,TrầnĐạt1987@,167,1744259004,7
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491641942288974612,tim để gia đình mạnh khỏe 🍀🍀,fanmessi2k128,Duy 🇦🇷,5049,1744283833,22
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491754332606923527,why?🤔,shankoko189,shankoko,53,1744310007,7
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491629859736666881,Thằng này em trai của Gwen k động vào đc đâu,lamducphat1702,P,608,1744281027,64
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491601838732821255,trc khi bỏ đi ..nó nói gì v mng ..nghe cỡ 10 lần k nghe rõ,.c.6.9,Đ Ứ C 6 9 🌾🔥,42,1744274500,27
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491671598103053074,"Huhu t sợ cây kéo đó, nhiều bệnh lây qua đường máu lắm",thanhnganga3110,Thanh Nga,1416,1744290739,15
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491532236014682898,"Công an Việt Nam! Giỏi thiệt, bắt đúng lẹ luôn",tifit09,Nguyễn Thành Trung,16235,1744258294,51
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491560587325227794,Mai mốt ra đường dừng đèn đỏ chắc mặc áo giáp qua mấy cha 😂😂😂,g.thin.n,Anh kiệt,18933,1744264900,81
https://www.tiktok.com/@vnexpress.official/video/7491513522380131591,7491578192655942420,Trường Con nói đúng thật: Sợ nhất những thằng âm thầm đến làm cái đi luôn. 😂,nqq.665,ᥫᩣQuâɴ ԍiải Pнóɴԍ★,4096,1744268998,22
